date,open,high,low,close,volume
2026-06-09,4329.8,4363.69,4236.59,4259.47,494532.0
2026-06-10,4250.4,4257.37,4067.19,4071.4,622743.0
2026-06-11,4070.76,4220.15,4023.79,4210.84,632828.0
2026-06-12,4212.88,4246.48,4170.25,4216.96,518780.0
2026-06-15,4268.39,4369.46,4261.24,4309.1,370857.0
2026-06-16,4308.71,4354.97,4306.0,4331.23,322591.0
2026-06-17,4332.82,4382.37,4219.11,4257.76,407010.0
2026-06-18,4255.74,4329.97,4201.5,4209.01,451846.0
2026-06-19,4210.85,4213.16,4121.61,4155.77,278261.0
2026-06-22,4141.3,4220.87,4136.47,4191.41,432330.0
2026-06-23,4193.58,4198.55,4090.85,4110.15,467300.0
2026-06-24,4112.61,4115.0,3959.05,3999.24,606306.0
2026-06-25,4004.26,4044.2,3962.95,4026.66,548425.0
2026-06-26,4031.09,4096.05,3983.04,4081.17,478888.0
2026-06-29,4088.03,4088.03,4000.23,4016.59,431156.0
2026-06-30,4018.98,4063.38,3942.35,4007.75,447233.0
2026-07-01,4011.29,4115.72,3960.08,4031.09,439310.0
2026-07-02,4034.3,4144.04,4030.77,4123.88,482366.0
2026-07-03,4127.11,4195.56,4121.18,4174.88,273178.0
2026-07-06,4184.07,4203.03,4128.53,4165.03,389444.0
2026-07-07,4166.09,4180.49,4092.28,4105.9,436681.0
2026-07-08,4098.18,4133.99,4021.77,4077.44,592375.0
2026-07-09,4078.44,4138.13,4054.26,4123.74,376339.0
2026-07-10,4125.33,4134.87,4072.85,4119.33,329433.0
2026-07-13,4104.41,4106.59,3986.58,4001.03,511863.0
2026-07-14,4002.18,4104.25,3983.43,4052.88,458184.0
2026-07-15,4056.89,4081.26,4017.45,4060.48,433941.0
2026-07-16,4062.13,4066.37,3973.69,3986.5,382078.0
