report_date_as_yyyy_mm_dd,open_interest_all,noncomm_positions_long_all,noncomm_positions_short_all,comm_positions_long_all,comm_positions_short_all,report_date
2023-01-03T00:00:00.000,449393,230801,89135,113520,273494,2023-01-03
2023-01-10T00:00:00.000,481519,243566,93031,111718,284196,2023-01-10
2023-01-17T00:00:00.000,491818,246874,93634,122814,298727,2023-01-17
2023-01-24T00:00:00.000,499927,253311,95638,127419,307973,2023-01-24
2023-01-31T00:00:00.000,471642,256417,96136,120147,300667,2023-01-31
2023-02-07T00:00:00.000,439755,223298,94483,118802,271768,2023-02-07
2023-02-14T00:00:00.000,426116,210374,104845,120812,249884,2023-02-14
2023-02-21T00:00:00.000,422648,210185,103084,119040,248395,2023-02-21
2023-02-28T00:00:00.000,426890,208419,99826,123391,250878,2023-02-28
2023-03-07T00:00:00.000,458474,215574,117100,125394,244314,2023-03-07
2023-03-14T00:00:00.000,459064,230823,90492,122457,277897,2023-03-14
2023-03-21T00:00:00.000,469874,237891,79286,121678,305246,2023-03-21
2023-03-28T00:00:00.000,478611,245135,63505,131786,333294,2023-03-28
2023-04-04T00:00:00.000,476592,266164,70948,116869,335119,2023-04-04
2023-04-11T00:00:00.000,476567,260165,67420,119710,336258,2023-04-11
2023-04-18T00:00:00.000,482254,260061,70168,123496,339921,2023-04-18
2023-04-25T00:00:00.000,473209,253186,67922,124518,336446,2023-04-25
2023-05-02T00:00:00.000,493804,262413,66846,127451,345035,2023-05-02
2023-05-09T00:00:00.000,518951,266472,70658,130985,353500,2023-05-09
2023-05-16T00:00:00.000,521832,255250,75436,138322,349879,2023-05-16
2023-05-23T00:00:00.000,479080,236149,75417,142984,330007,2023-05-23
2023-05-30T00:00:00.000,449515,237306,67990,133329,323334,2023-05-30
2023-06-06T00:00:00.000,436301,237467,61826,116363,314550,2023-06-06
2023-06-13T00:00:00.000,432898,227317,67108,120461,306523,2023-06-13
2023-06-20T00:00:00.000,438037,229308,66333,121419,307956,2023-06-20
2023-06-27T00:00:00.000,431861,220881,68971,119054,294389,2023-06-27
2023-07-03T00:00:00.000,448063,235081,71984,114905,299622,2023-07-03
2023-07-11T00:00:00.000,483170,240546,74792,114790,302539,2023-07-11
2023-07-18T00:00:00.000,482104,263740,70392,115498,329213,2023-07-18
2023-07-25T00:00:00.000,476176,248229,74590,125491,323701,2023-07-25
2023-08-01T00:00:00.000,439383,238985,74061,117610,304455,2023-08-01
